date;artist;track;spotify_data;album_name;album_release_date;track_popularity;artist_id
2022-06-28;Rammstein;ZEIT;Zeit|2022-04-29|75|6wWVKhxIU2cEi0K81v7HvP;Zeit;2022-04-29;75.0;6wWVKhxIU2cEi0K81v7HvP
2022-06-28;Florence And The Machine;KING;Dance Fever|2022-05-13|69|1moxjboGR7GNWYIMWsRjgG;Dance Fever;2022-05-13;69.0;1moxjboGR7GNWYIMWsRjgG
2022-06-28;Polskie Znaki;NIECH MONARCHOWIE;Niech monarchowie|2022-03-09|37|51mMxJU8FRsiFRbXnYB3or;Niech monarchowie;2022-03-09;37.0;51mMxJU8FRsiFRbXnYB3or
2022-06-28;Florence And The Machine;MY LOVE;My Love|2022-03-10|70|1moxjboGR7GNWYIMWsRjgG;My Love;2022-03-10;70.0;1moxjboGR7GNWYIMWsRjgG
2022-06-28;Karaś/Rogucki;ZAPASOWY TLEN;Zapasowy Tlen|2022-03-08|40|1ZAGaCgMaOtt2yOUm1Qq6x;Zapasowy Tlen;2022-03-08;40.0;1ZAGaCgMaOtt2yOUm1Qq6x
2022-06-28;Michelle Gurevich;GOODBYE MY DICTATOR;Goodbye My Dictator|2022-03-07|40|2lP3Fx1aGCbQvH1F6i5Qeg;Goodbye My Dictator;2022-03-07;40.0;2lP3Fx1aGCbQvH1F6i5Qeg
2022-06-28;Joanna Pocica;TRZYNASTU DZIELNYCH LUDZI;|||;;;;
2022-06-28;Eddie Vedder;INVINCIBLE;Earthling|2022-02-11|52|0mXTJETA4XUa12MmmXxZJh;Earthling;2022-02-11;52.0;0mXTJETA4XUa12MmmXxZJh
2022-06-28;Muse;COMPLIANCE;Compliance|2022-03-17|66|12Chz98pHFMPJEknJQMWvI;Compliance;2022-03-17;66.0;12Chz98pHFMPJEknJQMWvI
2022-06-28;Myslovitz;MIŁOŚĆ;Miłość|2022-03-04|33|3sntDD4Y2K97qvDq3GPqZ5;Miłość;2022-03-04;33.0;3sntDD4Y2K97qvDq3GPqZ5
2022-06-28;Red Hot Chili Peppers;NOT THE ONE;|||;;;;
2022-06-28;Archive;WE ARE THE SAME;We Are The Same|2022-03-15|35|1Q776wzj2mrtXrNu3iH6nk;We Are The Same;2022-03-15;35.0;1Q776wzj2mrtXrNu3iH6nk
2022-06-28;Franio Mucha;MIŚ MAMONA;Miś Mamona|2022-05-06|25|2l1ha2vETw02TOEdpepvEx;Miś Mamona;2022-05-06;25.0;2l1ha2vETw02TOEdpepvEx
2022-06-28;Voo Voo;BEZRUCH;Bezruch|2022-04-21|38|4vC1DrwqCb43puGttDWlwL;Bezruch;2022-04-21;38.0;4vC1DrwqCb43puGttDWlwL
2022-06-28;Muchy;Nie tak;Nie tak (Radio edit)|2022-05-24|36|09Z3SI4GkhYjpCB6884vC8;Nie tak (Radio edit);2022-05-24;36.0;09Z3SI4GkhYjpCB6884vC8
2022-06-28;Ralph Kaminski;Duchy;Duchy|2022-05-31|50|7l1IUcuGTEXMuD1aN3wFqw;Duchy;2022-05-31;50.0;7l1IUcuGTEXMuD1aN3wFqw
2022-06-28;Julia Kamińska;Żal mi;Żal mi|2022-06-09|41|4jFzWphpCeC923MojgEp7V;Żal mi;2022-06-09;41.0;4jFzWphpCeC923MojgEp7V
2022-06-28;Kate Bush;Running Up That Hill;Hounds of Love (2018 Remaster)|1985-09-16|91|1aSxMhuvixZ8h9dK9jIDwL;Hounds of Love (2018 Remaster);1985-09-16;91.0;1aSxMhuvixZ8h9dK9jIDwL
2022-06-28;Tears For Fears;My Demons;The Tipping Point|2022-02-25|50|4bthk9UfsYUYdcFyqxmSUU;The Tipping Point;2022-02-25;50.0;4bthk9UfsYUYdcFyqxmSUU
2022-06-28;Harry Styles;Daydreaming;Harry's House|2022-05-20|88|6KImCVD70vtIoJWnq6nGn3;Harry's House;2022-05-20;88.0;6KImCVD70vtIoJWnq6nGn3
2022-06-28;Administratorr Electro;Mroczne biznesy;Biznesy i romanse|2022-05-30|24|6FPamV3tkyoMVnCBPejBVy;Biznesy i romanse;2022-05-30;24.0;6FPamV3tkyoMVnCBPejBVy
2022-06-28;Editors;Karma Climb;Karma Climb|2022-06-07|52|6e9wIFWhBPHLE9bXK8gtBI;Karma Climb;2022-06-07;52.0;6e9wIFWhBPHLE9bXK8gtBI
