date;artist;track;spotify_data;album_name;album_release_date;track_popularity;artist_id
2022-06-28;T.Love;POCHODNIA;Pochodnia|2022-01-20|56|2L14uYIQePr3ZEutb6feZz;Pochodnia;2022-01-20;56.0;2L14uYIQePr3ZEutb6feZz
2022-06-28;Voo Voo;ŁAJBA;Łajba|2022-01-15|33|4vC1DrwqCb43puGttDWlwL;Łajba;2022-01-15;33.0;4vC1DrwqCb43puGttDWlwL
2022-06-28;Eddie Vedder;BROTHER THE CLOUD;Earthling|2022-02-11|49|0mXTJETA4XUa12MmmXxZJh;Earthling;2022-02-11;49.0;0mXTJETA4XUa12MmmXxZJh
2022-06-28;Stromae;L'ENFER;Mega Hits Summer 2022|2022-06-28|0|5j4HeCoUlzhfWtjAfM1acR;Mega Hits Summer 2022;2022-06-28;0.0;5j4HeCoUlzhfWtjAfM1acR
2022-06-28;Igo;HELENA;Helena|2022-01-04|61|6I5JdHLVup9pIjn9g5K20N;Helena;2022-01-04;61.0;6I5JdHLVup9pIjn9g5K20N
2022-06-28;Sting;WHAT COULD HAVE BEEN;Arcane League of Legends (Soundtrack from the Animated Series)|2021-11-20|67|0Ty63ceoRnnJKVEYP0VQpk;Arcane League of Legends (Soundtrack from the Animated Series);2021-11-20;67.0;0Ty63ceoRnnJKVEYP0VQpk
2022-06-28;Aurora;A DANGEROUS THING;The Gods We Can Touch|2022-01-21|49|1WgXqy2Dd70QQOU7Ay074N;The Gods We Can Touch;2022-01-21;49.0;1WgXqy2Dd70QQOU7Ay074N
2022-06-28;Anieli;JAŚNIEJĄCA;Jaśniejąca|2022-01-21|49|014XDYJJQpJHyaZyxpJrrB;Jaśniejąca;2022-01-21;49.0;014XDYJJQpJHyaZyxpJrrB
2022-06-28;Archive;FEAR THERE & EVERYWHERE;Call To Arms & Angels|2022-04-29|40|1Q776wzj2mrtXrNu3iH6nk;Call To Arms & Angels;2022-04-29;40.0;1Q776wzj2mrtXrNu3iH6nk
2022-06-28;Adele;OH MY GOD;30|2021-11-19|85|4dpARuHxo51G3z768sgnrY;30;2021-11-19;85.0;4dpARuHxo51G3z768sgnrY
2022-06-28;Michael Bublé;I'LL NEVER NOT LOVE YOU;|||;;;;
2022-06-28;Red Hot Chili Peppers;BLACK SUMMER;Black Summer|2022-02-04|74|0L8ExT028jH3ddEcZwqJJ5;Black Summer;2022-02-04;74.0;0L8ExT028jH3ddEcZwqJJ5
2022-06-28;Żurkowski;WESTERN;KURZ|2022-02-11|37|17ZrDcSLNOBMR1oz6w4DXs;KURZ;2022-02-11;37.0;17ZrDcSLNOBMR1oz6w4DXs
2022-06-28;Foo Fighters;LOVE DIES YOUNG;Medicine At Midnight|2021-02-05|53|7jy3rLJdDQY21OgRLCZ9sD;Medicine At Midnight;2021-02-05;53.0;7jy3rLJdDQY21OgRLCZ9sD
2022-06-28;Ladaco;JEZIORO ŁABĘDZIE;Jezioro łabędzie|2022-01-24|24|6smrG6QLzHOOBeIOzHx351;Jezioro łabędzie;2022-01-24;24.0;6smrG6QLzHOOBeIOzHx351
2022-06-28;Bokka;900;Blood Moon|2022-02-25|38|6R2e6FSXY9vhgOulV08FO3;Blood Moon;2022-02-25;38.0;6R2e6FSXY9vhgOulV08FO3
2022-06-28;Bryan Adams;SO HAPPY IT HURTS;So Happy It Hurts|2022-03-11|50|3Z02hBLubJxuFJfhacLSDc;So Happy It Hurts;2022-03-11;50.0;3Z02hBLubJxuFJfhacLSDc
2022-06-28;Muse;WON'T STAND DOWN;Won’t Stand Down|2022-01-13|68|12Chz98pHFMPJEknJQMWvI;Won’t Stand Down;2022-01-13;68.0;12Chz98pHFMPJEknJQMWvI
2022-06-28;Natalia Przybysz;ZEW;Zaczynam się od miłości|2022-03-11|44|03KLzHVK6la8dVop1iVI5x;Zaczynam się od miłości;2022-03-11;44.0;03KLzHVK6la8dVop1iVI5x
2022-06-28;Paweł Domagała;DZIECI U DZIADKÓW;Dzieci u dziadków|2022-01-21|43|0Gk98lHv6LlqbWPwdMiga2;Dzieci u dziadków;2022-01-21;43.0;0Gk98lHv6LlqbWPwdMiga2
2022-06-28;Krzysztof Zalewski;OCZKO W GŁOWIE;Oczko w głowie (Kayax XX Rework)|2021-12-27|45|1U1eSs7M2ENf09cDx4lavK;Oczko w głowie (Kayax XX Rework);2021-12-27;45.0;1U1eSs7M2ENf09cDx4lavK
2022-06-28;Fisz Emade Tworzywo;OK BOOMER!;Ballady I Protesty|2021-10-29|40|0YYxsW13yGiA2e80fu4VIA;Ballady I Protesty;2021-10-29;40.0;0YYxsW13yGiA2e80fu4VIA
2022-06-28;Ewa Bem;"PODARUJ MI TROCHĘ SŁOŃCA (KONCERT ""LISTA JEST TYLKO JEDNA"")";|||;;;;
2022-06-28;Grzegorz Turnau;ZUPA NA PLANTACH;Zupa na Plantach|2021-12-01|35|5bQZCiENsgmW4SvUOc86qI;Zupa na Plantach;2021-12-01;35.0;5bQZCiENsgmW4SvUOc86qI
2022-06-28;Bluszcz;LASY PRYWATNE;Lasy Prywatne|2021-12-02|36|4QUfzPnzzNf93Y6VKxZVlD;Lasy Prywatne;2021-12-02;36.0;4QUfzPnzzNf93Y6VKxZVlD
2022-06-28;Daria Zawiałow;METROPOLIS;Wojny i Noce|2021-06-11|53|0tdKRrbItnLj40yUFi23jx;Wojny i Noce;2021-06-11;53.0;0tdKRrbItnLj40yUFi23jx
2022-06-28;ZAZ;IMAGINE;Isa|2021-10-22|53|1mbgj8ERPs8lWi7t5cYrdy;Isa;2021-10-22;53.0;1mbgj8ERPs8lWi7t5cYrdy
2022-06-28;Sokół;JAK UROSNĘ;NIC|2021-11-19|48|5Kuxl5ZenCl9fYzmtin6ot;NIC;2021-11-19;48.0;5Kuxl5ZenCl9fYzmtin6ot
2022-06-28;Męskie Granie Orkiestra 2021;MAŁGOŚKA;Męskie Granie 2021|2021-12-03|54|5xoXMR6Y8PORwObvyND9ZE;Męskie Granie 2021;2021-12-03;54.0;5xoXMR6Y8PORwObvyND9ZE
2022-06-28;Riverside;STORY OF MY DREAM;Riverside 20 - The Shorts & The Longs|2021-11-19|30|5yjbUO1Jocui7RKE30zfLT;Riverside 20 - The Shorts & The Longs;2021-11-19;30.0;5yjbUO1Jocui7RKE30zfLT
2022-06-28;Przyjaciele Pewnej Ryby 2021;KARP TO SKARB;|||;;;;
2022-06-28;Bovska;DZIKA;Dzika|2021-10-27|45|4E8L0A5xtDhcMaeBO7p0eg;Dzika;2021-10-27;45.0;4E8L0A5xtDhcMaeBO7p0eg
2022-06-28;The New Years 2022;A JEDNAK CUD;|||;;;;
2022-06-28;U2;YOUR SONG SAVED MY LIFE;Sing 2 (Original Motion Picture Soundtrack)|2021-12-17|60|51Blml2LZPmy7TTiAg47vQ;Sing 2 (Original Motion Picture Soundtrack);2021-12-17;60.0;51Blml2LZPmy7TTiAg47vQ
2022-06-28;Marillion;BE HARD ON YOURSELF;An Hour Before It's Dark|2022-03-04|23|7ai5TWiOG8g9Hds5AATS28;An Hour Before It's Dark;2022-03-04;23.0;7ai5TWiOG8g9Hds5AATS28
2022-06-28;Ed Sheeran;MERRY CHRISTMAS;Merry Christmas|2021-12-03|61|6eUKZXaKkcviH0Ku9w2n3V;Merry Christmas;2021-12-03;61.0;6eUKZXaKkcviH0Ku9w2n3V
2022-06-28;Jack White;TAKING ME BACK;Fear Of The Dawn|2022-04-08|57|4FZ3j1oH43e7cukCALsCwf;Fear Of The Dawn;2022-04-08;57.0;4FZ3j1oH43e7cukCALsCwf
2022-06-28;Sorry Boys;JADĘ DO DOMU;Jadę Do Domu|2021-12-01|46|0WX7MXOUx7elCFdxdgvdBU;Jadę Do Domu;2021-12-01;46.0;0WX7MXOUx7elCFdxdgvdBU
2022-06-28;Organek;CAŁY TEN FEJM;Cały ten fejm|2021-11-04|38|2cPIQ8eVSqSKGjBQXgi3WH;Cały ten fejm;2021-11-04;38.0;2cPIQ8eVSqSKGjBQXgi3WH
2022-06-28;Archive;SHOUTING WITHIN;Call To Arms & Angels|2022-04-29|39|1Q776wzj2mrtXrNu3iH6nk;Call To Arms & Angels;2022-04-29;39.0;1Q776wzj2mrtXrNu3iH6nk
2022-06-29;Organek;CAŁY TEN FEJM;Cały ten fejm|2021-11-04|38|2cPIQ8eVSqSKGjBQXgi3WH;Cały ten fejm;2021-11-04;38.0;2cPIQ8eVSqSKGjBQXgi3WH
2022-06-29;Sorry Boys;JADĘ DO DOMU;Jadę Do Domu|2021-12-01|46|0WX7MXOUx7elCFdxdgvdBU;Jadę Do Domu;2021-12-01;46.0;0WX7MXOUx7elCFdxdgvdBU
2022-06-29;Jack White;TAKING ME BACK;Fear Of The Dawn|2022-04-08|58|4FZ3j1oH43e7cukCALsCwf;Fear Of The Dawn;2022-04-08;58.0;4FZ3j1oH43e7cukCALsCwf
2022-06-29;Ed Sheeran;MERRY CHRISTMAS;Merry Christmas|2021-12-03|61|6eUKZXaKkcviH0Ku9w2n3V;Merry Christmas;2021-12-03;61.0;6eUKZXaKkcviH0Ku9w2n3V
2022-06-29;Marillion;BE HARD ON YOURSELF;An Hour Before It's Dark|2022-03-04|23|7ai5TWiOG8g9Hds5AATS28;An Hour Before It's Dark;2022-03-04;23.0;7ai5TWiOG8g9Hds5AATS28
2022-06-29;U2;YOUR SONG SAVED MY LIFE;Sing 2 (Original Motion Picture Soundtrack)|2021-12-17|61|51Blml2LZPmy7TTiAg47vQ;Sing 2 (Original Motion Picture Soundtrack);2021-12-17;61.0;51Blml2LZPmy7TTiAg47vQ
2022-06-29;Bovska;DZIKA;Dzika|2021-10-27|45|4E8L0A5xtDhcMaeBO7p0eg;Dzika;2021-10-27;45.0;4E8L0A5xtDhcMaeBO7p0eg
2022-06-29;Sokół;JAK UROSNĘ;NIC|2021-11-19|48|5Kuxl5ZenCl9fYzmtin6ot;NIC;2021-11-19;48.0;5Kuxl5ZenCl9fYzmtin6ot
2022-06-29;Riverside;STORY OF MY DREAM;Riverside 20 - The Shorts & The Longs|2021-11-19|30|5yjbUO1Jocui7RKE30zfLT;Riverside 20 - The Shorts & The Longs;2021-11-19;30.0;5yjbUO1Jocui7RKE30zfLT
2022-06-29;Męskie Granie Orkiestra 2021;MAŁGOŚKA;Męskie Granie 2021|2021-12-03|54|5xoXMR6Y8PORwObvyND9ZE;Męskie Granie 2021;2021-12-03;54.0;5xoXMR6Y8PORwObvyND9ZE
2022-06-29;ZAZ;IMAGINE;Isa|2021-10-22|53|1mbgj8ERPs8lWi7t5cYrdy;Isa;2021-10-22;53.0;1mbgj8ERPs8lWi7t5cYrdy
2022-06-29;Daria Zawiałow;METROPOLIS;Wojny i Noce|2021-06-11|53|0tdKRrbItnLj40yUFi23jx;Wojny i Noce;2021-06-11;53.0;0tdKRrbItnLj40yUFi23jx
2022-06-29;Bluszcz;LASY PRYWATNE;Lasy Prywatne|2021-12-02|36|4QUfzPnzzNf93Y6VKxZVlD;Lasy Prywatne;2021-12-02;36.0;4QUfzPnzzNf93Y6VKxZVlD
2022-06-29;Grzegorz Turnau;ZUPA NA PLANTACH;Zupa na Plantach|2021-12-01|35|5bQZCiENsgmW4SvUOc86qI;Zupa na Plantach;2021-12-01;35.0;5bQZCiENsgmW4SvUOc86qI
2022-06-29;Przyjaciele Pewnej Ryby 2021;KARP TO SKARB;|||;;;;
2022-06-29;The New Years 2022;A JEDNAK CUD;|||;;;;
2022-06-29;Archive;SHOUTING WITHIN;Call To Arms & Angels|2022-04-29|39|1Q776wzj2mrtXrNu3iH6nk;Call To Arms & Angels;2022-04-29;39.0;1Q776wzj2mrtXrNu3iH6nk
2022-06-29;Krzysztof Zalewski;OCZKO W GŁOWIE;Oczko w głowie (Kayax XX Rework)|2021-12-27|45|1U1eSs7M2ENf09cDx4lavK;Oczko w głowie (Kayax XX Rework);2021-12-27;45.0;1U1eSs7M2ENf09cDx4lavK
2022-06-29;Bokka;900;Blood Moon|2022-02-25|38|6R2e6FSXY9vhgOulV08FO3;Blood Moon;2022-02-25;38.0;6R2e6FSXY9vhgOulV08FO3
2022-06-29;Natalia Przybysz;ZEW;Zaczynam się od miłości|2022-03-11|44|03KLzHVK6la8dVop1iVI5x;Zaczynam się od miłości;2022-03-11;44.0;03KLzHVK6la8dVop1iVI5x
2022-06-29;Ladaco;JEZIORO ŁABĘDZIE;Jezioro łabędzie|2022-01-24|24|6smrG6QLzHOOBeIOzHx351;Jezioro łabędzie;2022-01-24;24.0;6smrG6QLzHOOBeIOzHx351
2022-06-29;Foo Fighters;LOVE DIES YOUNG;Medicine At Midnight|2021-02-05|53|7jy3rLJdDQY21OgRLCZ9sD;Medicine At Midnight;2021-02-05;53.0;7jy3rLJdDQY21OgRLCZ9sD
2022-06-29;Żurkowski;WESTERN;KURZ|2022-02-11|37|17ZrDcSLNOBMR1oz6w4DXs;KURZ;2022-02-11;37.0;17ZrDcSLNOBMR1oz6w4DXs
2022-06-29;Red Hot Chili Peppers;BLACK SUMMER;Black Summer|2022-02-04|74|0L8ExT028jH3ddEcZwqJJ5;Black Summer;2022-02-04;74.0;0L8ExT028jH3ddEcZwqJJ5
2022-06-29;Michael Bublé;I'LL NEVER NOT LOVE YOU;|||;;;;
2022-06-29;Adele;OH MY GOD;30|2021-11-19|85|4dpARuHxo51G3z768sgnrY;30;2021-11-19;85.0;4dpARuHxo51G3z768sgnrY
2022-06-29;Archive;FEAR THERE & EVERYWHERE;Call To Arms & Angels|2022-04-29|40|1Q776wzj2mrtXrNu3iH6nk;Call To Arms & Angels;2022-04-29;40.0;1Q776wzj2mrtXrNu3iH6nk
2022-06-29;Anieli;JAŚNIEJĄCA;Jaśniejąca|2022-01-21|49|014XDYJJQpJHyaZyxpJrrB;Jaśniejąca;2022-01-21;49.0;014XDYJJQpJHyaZyxpJrrB
2022-06-29;Aurora;A DANGEROUS THING;The Gods We Can Touch|2022-01-21|49|1WgXqy2Dd70QQOU7Ay074N;The Gods We Can Touch;2022-01-21;49.0;1WgXqy2Dd70QQOU7Ay074N
2022-06-29;Paweł Domagała;DZIECI U DZIADKÓW;Dzieci u dziadków|2022-01-21|43|0Gk98lHv6LlqbWPwdMiga2;Dzieci u dziadków;2022-01-21;43.0;0Gk98lHv6LlqbWPwdMiga2
2022-06-29;Sting;WHAT COULD HAVE BEEN;Arcane League of Legends (Soundtrack from the Animated Series)|2021-11-20|67|0Ty63ceoRnnJKVEYP0VQpk;Arcane League of Legends (Soundtrack from the Animated Series);2021-11-20;67.0;0Ty63ceoRnnJKVEYP0VQpk
2022-06-29;Igo;HELENA;Helena|2022-01-04|61|6I5JdHLVup9pIjn9g5K20N;Helena;2022-01-04;61.0;6I5JdHLVup9pIjn9g5K20N
2022-06-29;Stromae;L'ENFER;Mega Hits Summer 2022|2022-06-28|0|5j4HeCoUlzhfWtjAfM1acR;Mega Hits Summer 2022;2022-06-28;0.0;5j4HeCoUlzhfWtjAfM1acR
2022-06-29;Eddie Vedder;BROTHER THE CLOUD;Earthling|2022-02-11|49|0mXTJETA4XUa12MmmXxZJh;Earthling;2022-02-11;49.0;0mXTJETA4XUa12MmmXxZJh
2022-06-29;Voo Voo;ŁAJBA;Łajba|2022-01-15|33|4vC1DrwqCb43puGttDWlwL;Łajba;2022-01-15;33.0;4vC1DrwqCb43puGttDWlwL
2022-06-29;T.Love;POCHODNIA;Pochodnia|2022-01-20|56|2L14uYIQePr3ZEutb6feZz;Pochodnia;2022-01-20;56.0;2L14uYIQePr3ZEutb6feZz
2022-06-29;Muse;WON'T STAND DOWN;Won’t Stand Down|2022-01-13|68|12Chz98pHFMPJEknJQMWvI;Won’t Stand Down;2022-01-13;68.0;12Chz98pHFMPJEknJQMWvI
2022-06-29;Ewa Bem;"PODARUJ MI TROCHĘ SŁOŃCA (KONCERT ""LISTA JEST TYLKO JEDNA"")";|||;;;;
2022-06-29;Fisz Emade Tworzywo;OK BOOMER!;Ballady I Protesty|2021-10-29|40|0YYxsW13yGiA2e80fu4VIA;Ballady I Protesty;2021-10-29;40.0;0YYxsW13yGiA2e80fu4VIA
2022-06-29;Bluszcz;ODRA;Odra|2021-08-19|31|4QUfzPnzzNf93Y6VKxZVlD;Odra;2021-08-19;31.0;4QUfzPnzzNf93Y6VKxZVlD
2022-06-29;Bryan Adams;SO HAPPY IT HURTS;So Happy It Hurts|2022-03-11|50|3Z02hBLubJxuFJfhacLSDc;So Happy It Hurts;2022-03-11;50.0;3Z02hBLubJxuFJfhacLSDc
2022-06-29;Billy Idol;BITTER TASTE;Bitter Taste|2021-08-11|57|7lzordPuZEXxwt9aoVZYmG;Bitter Taste;2021-08-11;57.0;7lzordPuZEXxwt9aoVZYmG
2022-06-29;Placebo;BEAUTIFUL JAMES;Never Let Me Go|2022-03-25|37|6RZUqkomCmb8zCRqc9eznB;Never Let Me Go;2022-03-25;37.0;6RZUqkomCmb8zCRqc9eznB
2022-06-29;Artur Rojek;WSZYSTKO MI MÓWI, ŻE MNIE KTOŚ POKOCHAŁ;Wszystko mi mówi, że mnie ktoś pokochał|2021-09-03|44|2wmdMX0w131ZumU30P5WZH;Wszystko mi mówi, że mnie ktoś pokochał;2021-09-03;44.0;2wmdMX0w131ZumU30P5WZH
2022-06-29;Sting;IF IT'S LOVE;The Bridge (Super Deluxe)|2022-06-17|38|0Ty63ceoRnnJKVEYP0VQpk;The Bridge (Super Deluxe);2022-06-17;38.0;0Ty63ceoRnnJKVEYP0VQpk
2022-06-29;Ralph Kaminski;PO PROSTU BĄDŹ;Kora|2021-10-15|56|7l1IUcuGTEXMuD1aN3wFqw;Kora;2021-10-15;56.0;7l1IUcuGTEXMuD1aN3wFqw
2022-06-29;Patrick The Pan;NIE CHCĘ PSA;Miło wszystko|2021-06-25|41|7vYfq6OMlGDw1IpTxar2h2;Miło wszystko;2021-06-25;41.0;7vYfq6OMlGDw1IpTxar2h2
2022-06-29;ABBA;DON'T SHUT ME DOWN;|||;;;;
2022-06-29;Adele;EASY ON ME;Easy On Me|2021-10-14|87|4dpARuHxo51G3z768sgnrY;Easy On Me;2021-10-14;87.0;4dpARuHxo51G3z768sgnrY
2022-06-29;Jan Borysewicz;NIE WIERZ NIGDY KOBIECIE;Nie wierz nigdy kobiecie|2021-09-10|38|3aOdQc0HYtG1ZJoU5eyv8P;Nie wierz nigdy kobiecie;2021-09-10;38.0;3aOdQc0HYtG1ZJoU5eyv8P
2022-06-29;Daria Zawiałow;ŻÓŁTA TAKSÓWKA;Wojny i Noce|2021-06-11|47|0tdKRrbItnLj40yUFi23jx;Wojny i Noce;2021-06-11;47.0;0tdKRrbItnLj40yUFi23jx
2022-06-29;Muchy;SZARORÓŻOWE;Szaroróżowe (Radio edit)|2021-05-07|47|09Z3SI4GkhYjpCB6884vC8;Szaroróżowe (Radio edit);2021-05-07;47.0;09Z3SI4GkhYjpCB6884vC8
2022-06-29;Bitamina;NIECH NO TYLKO ZAKWITNĄ JABŁONIE;Niech no tylko zakwitną jabłonie|2021-07-09|50|2EJzUdaDAwfqcjpQcRAYdQ;Niech no tylko zakwitną jabłonie;2021-07-09;50.0;2EJzUdaDAwfqcjpQcRAYdQ
2022-06-29;Organek;IDZIEMY W MIASTO;Ocali Nas Miłość|2021-07-30|35|2cPIQ8eVSqSKGjBQXgi3WH;Ocali Nas Miłość;2021-07-30;35.0;2cPIQ8eVSqSKGjBQXgi3WH
2022-06-29;Krzysztof Zalewski;PTAKI (MTV UNPLUGGED);MTV Unplugged|2021-11-23|46|1U1eSs7M2ENf09cDx4lavK;MTV Unplugged;2021-11-23;46.0;1U1eSs7M2ENf09cDx4lavK
2022-06-29;Organek;FOTOGRAF BROK;Ocali Nas Miłość|2021-07-30|35|2cPIQ8eVSqSKGjBQXgi3WH;Ocali Nas Miłość;2021-07-30;35.0;2cPIQ8eVSqSKGjBQXgi3WH
2022-06-29;Fisz Emade Tworzywo;SPEKTRUM BARW;Ballady I Protesty|2021-10-29|37|0YYxsW13yGiA2e80fu4VIA;Ballady I Protesty;2021-10-29;37.0;0YYxsW13yGiA2e80fu4VIA
2022-06-29;Kaśka Sochacka;CICHE DNI;Ciche dni|2021-03-26|54|3ClL18AtCAPwXVT6mUkBDN;Ciche dni;2021-03-26;54.0;3ClL18AtCAPwXVT6mUkBDN
2022-06-29;Artur Andrus;ZUPA NIC;|||;;;;
2022-06-29;Ralph Kaminski;PIĘĆ MINUT ŁEZ;"Pięć Minut Łez (From ""Moje wspaniałe życie"")|2021-08-19|49|7l1IUcuGTEXMuD1aN3wFqw";"Pięć Minut Łez (From ""Moje wspaniałe życie"")";2021-08-19;49.0;7l1IUcuGTEXMuD1aN3wFqw
2022-06-29;Strachy Na Lachy;ZACHMURZONY W TOBIE;Piekło|2021-10-01|29|4DXXg7xzgKAEYeFhh9wAtk;Piekło;2021-10-01;29.0;4DXXg7xzgKAEYeFhh9wAtk
2022-06-29;Elton John;FINISH LINE;The Lockdown Sessions|2021-10-22|47|3PhoLpVuITZKcymswpck5b;The Lockdown Sessions;2021-10-22;47.0;3PhoLpVuITZKcymswpck5b
2022-06-29;Król;ZBYT DOBRZE CI IDZIE;Dziękuję|2021-04-09|30|0gH4VBwt5MwWomiOXloDC4;Dziękuję;2021-04-09;30.0;0gH4VBwt5MwWomiOXloDC4
2022-06-29;Olivia Vedder, Eddie Vedder, Glen Hansard;MY FATHER'S DAUGHTER;My Father's Daughter (From The “Flag Day” Original Soundtrack)|2021-08-16|53|1cALtYxOIn4uWAfNdwcP4E;My Father's Daughter (From The “Flag Day” Original Soundtrack);2021-08-16;53.0;1cALtYxOIn4uWAfNdwcP4E
2022-06-29;Marcin Nowakowski;NA RÓŻOWO;Na różowo|2021-10-21|14|3enFhWFiJILf4OYGcTPdMy;Na różowo;2021-10-21;14.0;3enFhWFiJILf4OYGcTPdMy
2022-06-29;Eric Clapton;THIS HAS GOTTA STOP;This Has Gotta Stop|2021-08-27|42|6PAt558ZEZl0DmdXlnjMgD;This Has Gotta Stop;2021-08-27;42.0;6PAt558ZEZl0DmdXlnjMgD
2022-06-29;Organek;DOPPELGANGER;Na razie stoję, na razie patrzę|2021-11-05|30|2cPIQ8eVSqSKGjBQXgi3WH;Na razie stoję, na razie patrzę;2021-11-05;30.0;2cPIQ8eVSqSKGjBQXgi3WH
2022-06-29;Tears For Fears;THE TIPPING POINT;The Tipping Point|2022-02-25|52|4bthk9UfsYUYdcFyqxmSUU;The Tipping Point;2022-02-25;52.0;4bthk9UfsYUYdcFyqxmSUU
2022-06-29;Iron Maiden;DAYS OF FUTURE PAST;Senjutsu|2021-09-03|43|6mdiAmATAx73kdxrNrnlao;Senjutsu;2021-09-03;43.0;6mdiAmATAx73kdxrNrnlao
2022-06-29;The Rolling Stones;LIVING IN THE HEART OF LOVE;Living In The Heart Of Love|2021-08-19|33|22bE4uQ6baNwSHPVcDxLCe;Living In The Heart Of Love;2021-08-19;33.0;22bE4uQ6baNwSHPVcDxLCe
2022-06-29;Kaśka Sochacka;NIEBO BYŁO RÓŻOWE;Ministory|2021-11-26|56|3ClL18AtCAPwXVT6mUkBDN;Ministory;2021-11-26;56.0;3ClL18AtCAPwXVT6mUkBDN
2022-06-29;Dave Gahan;METAL HEART;Imposter|2021-11-12|42|7hKXTmrq3ZppBx881yBbOr;Imposter;2021-11-12;42.0;7hKXTmrq3ZppBx881yBbOr
2022-06-29;Iron Maiden;THE WRITING ON THE WALL;Senjutsu|2021-09-03|45|6mdiAmATAx73kdxrNrnlao;Senjutsu;2021-09-03;45.0;6mdiAmATAx73kdxrNrnlao
2022-06-29;Sting;RUSHING WATER;The Bridge (Super Deluxe)|2022-06-17|40|0Ty63ceoRnnJKVEYP0VQpk;The Bridge (Super Deluxe);2022-06-17;40.0;0Ty63ceoRnnJKVEYP0VQpk
2022-06-29;Blurred Pink;CZY TU JEST NASZ DOM?;CZY TU JEST NASZ DOM?|2021-04-11|35|420ExMrSqalFaHc9dypLlN;CZY TU JEST NASZ DOM?;2021-04-11;35.0;420ExMrSqalFaHc9dypLlN
2022-06-29;Maria Peszek;LOVESONG;Ave Maria|2021-09-10|40|2bJ904AqmK8LRH9fGShlQM;Ave Maria;2021-09-10;40.0;2bJ904AqmK8LRH9fGShlQM
2022-06-29;Michael Kiwanuka;BEAUTIFUL LIFE;Beautiful Life|2021-10-12|54|0bzfPKdbXL5ezYW2z3UGQj;Beautiful Life;2021-10-12;54.0;0bzfPKdbXL5ezYW2z3UGQj
2022-06-29;Krzysztof Zalewski;WILK;Wilk|2022-02-15|30|1U1eSs7M2ENf09cDx4lavK;Wilk;2022-02-15;30.0;1U1eSs7M2ENf09cDx4lavK
2022-06-29;Diana Ross;THANK YOU;Thank You|2021-06-17|58|3MdG05syQeRYPPcClLaUGl;Thank You;2021-06-17;58.0;3MdG05syQeRYPPcClLaUGl
2022-06-29;Eddie Vedder;LONG WAY;Earthling|2022-02-11|48|0mXTJETA4XUa12MmmXxZJh;Earthling;2022-02-11;48.0;0mXTJETA4XUa12MmmXxZJh
2022-06-29;Skubas;DOBRA CZARODZIEJKA;Dobra Czarodziejka|2021-05-25|41|5BoG8WljgEsbLOtoK5IAok;Dobra Czarodziejka;2021-05-25;41.0;5BoG8WljgEsbLOtoK5IAok
2022-06-29;Scorpions;SEVENTH SUN;Rock Believer (Deluxe)|2022-02-25|46|27T030eWyCQRmDyuvr1kxY;Rock Believer (Deluxe);2022-02-25;46.0;27T030eWyCQRmDyuvr1kxY
2022-06-29;DJ BRK;ROBIĘ CO MOGĘ;Robię Co Mogę|2022-04-18|56|2jNxbYSRQ7pkrxVuOjES7n;Robię Co Mogę;2022-04-18;56.0;2jNxbYSRQ7pkrxVuOjES7n
2022-06-29;WaluśKraksaKryzys;TO CO MIĘDZY NAMI;ATAK|2021-04-23|45|4kOWvyAkvmkCrIHwW3bODd;ATAK;2021-04-23;45.0;4kOWvyAkvmkCrIHwW3bODd
2022-06-29;Lady Gaga;HOLD MY HAND;"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")|2022-05-03|85|1HY2Jd0NmPuamShAr6KMms";"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")";2022-05-03;85.0;1HY2Jd0NmPuamShAr6KMms
2022-06-29;Męskie Granie Orkiestra 2022;JEST TYLKO TERAZ;Jest tylko teraz (feat. Bedoes, Krzysztof Zalewski & Kwiat Jabłoni)|2022-05-31|61|1WbPJm4WVQvxOEQO1GEJy7;Jest tylko teraz (feat. Bedoes, Krzysztof Zalewski & Kwiat Jabłoni);2022-05-31;61.0;1WbPJm4WVQvxOEQO1GEJy7
2022-06-29;Jack Savoretti;YOU DON'T HAVE TO SAY YOU LOVE ME;Europiana Encore|2022-05-20|43|7nC05zmJukRGYObQeRgg3x;Europiana Encore;2022-05-20;43.0;7nC05zmJukRGYObQeRgg3x
2022-06-29;Blossoms;CINERAMA HOLY DAYS;Ribbon Around The Bomb|2022-04-29|25|22RISwgVJyZu9lpqAcv1F5;Ribbon Around The Bomb;2022-04-29;25.0;22RISwgVJyZu9lpqAcv1F5
2022-06-29;LemON;PTAKI;Ptaki|2022-05-13|47|3B4XG3HanBgkVOybc89Q3T;Ptaki;2022-05-13;47.0;3B4XG3HanBgkVOybc89Q3T
2022-06-29;Harry Styles;LATE NIGHT TALKING;Harry's House|2022-05-20|95|6KImCVD70vtIoJWnq6nGn3;Harry's House;2022-05-20;95.0;6KImCVD70vtIoJWnq6nGn3
2022-06-29;Classix Nouveaux;FIX YOUR EYES UP;Fix Your Eyes Up|2022-05-16|27|40PsC6cWe7ZQdOUTqF5JgD;Fix Your Eyes Up;2022-05-16;27.0;40PsC6cWe7ZQdOUTqF5JgD
