date;artist;artist_id;spotify_data;artist_name;artist_genres;artist_popularity;artist_followers
2022-06-30;Ed Sheeran;6eUKZXaKkcviH0Ku9w2n3V;Ed Sheeran|pop,uk pop|90|99083056;Ed Sheeran;pop,uk pop;90;99083056
2022-06-30;Marillion;7ai5TWiOG8g9Hds5AATS28;Marillion|album rock,art rock,classic rock,neo-progressive,progressive rock,symphonic rock|56|406090;Marillion;album rock,art rock,classic rock,neo-progressive,progressive rock,symphonic rock;56;406090
2022-06-30;U2;51Blml2LZPmy7TTiAg47vQ;U2|irish rock,permanent wave,rock|76|9892712;U2;irish rock,permanent wave,rock;76;9892712
2022-06-30;Bovska;4E8L0A5xtDhcMaeBO7p0eg;Bovska|polish alternative,polish pop|36|64933;Bovska;polish alternative,polish pop;36;64933
2022-06-30;Archive;1Q776wzj2mrtXrNu3iH6nk;Archive|electronica,trip hop|48|236017;Archive;electronica,trip hop;48;236017
2022-06-30;Riverside;5yjbUO1Jocui7RKE30zfLT;Riverside|neo-progressive,polish prog,prog metal,progressive metal,progressive rock,symphonic rock|43|169409;Riverside;neo-progressive,polish prog,prog metal,progressive metal,progressive rock,symphonic rock;43;169409
2022-06-30;Sokół;5Kuxl5ZenCl9fYzmtin6ot;Sokół|polish hip hop|56|225972;Sokół;polish hip hop;56;225972
2022-06-30;ZAZ;1mbgj8ERPs8lWi7t5cYrdy;Zaz|chanson,french jazz,nouvelle chanson francaise|61|1327073;Zaz;chanson,french jazz,nouvelle chanson francaise;61;1327073
2022-06-30;Grzegorz Turnau;5bQZCiENsgmW4SvUOc86qI;Grzegorz Turnau|classic polish pop,poezja spiewana,sung poetry|53|47360;Grzegorz Turnau;classic polish pop,poezja spiewana,sung poetry;53;47360
2022-06-30;Bryan Adams;3Z02hBLubJxuFJfhacLSDc;Bryan Adams|canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock|73|2650286;Bryan Adams;canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock;73;2650286
2022-06-30;Król;0gH4VBwt5MwWomiOXloDC4;KRÓL|polish alternative,polish indie|48|28762;KRÓL;polish alternative,polish indie;48;28762
2022-06-30;Olivia Vedder, Eddie Vedder, Glen Hansard;1cALtYxOIn4uWAfNdwcP4E;Olivia Vedder||35|4749;Olivia Vedder;;35;4749
2022-06-30;Marcin Nowakowski;3enFhWFiJILf4OYGcTPdMy;Marcin Nowakowski|bajki|8|305;Marcin Nowakowski;bajki;8;305
2022-06-30;Eric Clapton;6PAt558ZEZl0DmdXlnjMgD;Eric Clapton|album rock,blues rock,classic rock,electric blues,mellow gold,rock,soft rock|70|4959517;Eric Clapton;album rock,blues rock,classic rock,electric blues,mellow gold,rock,soft rock;70;4959517
2022-06-30;The Rolling Stones;22bE4uQ6baNwSHPVcDxLCe;The Rolling Stones|british invasion,classic rock,rock|77|11847362;The Rolling Stones;british invasion,classic rock,rock;77;11847362
2022-06-30;Follow;13DQTaJffWrdyqeUe7Fzr2;The Following Sea||0|4;The Following Sea;;0;4
2022-07-04;Fisz Emade Tworzywo;0YYxsW13yGiA2e80fu4VIA;Fisz Emade Tworzywo|polish alternative|43|101365;Fisz Emade Tworzywo;polish alternative;43;101365
2022-07-04;Harry Styles;6KImCVD70vtIoJWnq6nGn3;Harry Styles|pop|93|21775405;Harry Styles;pop;93;21775405
2022-07-04;Kaśka Sochacka;3ClL18AtCAPwXVT6mUkBDN;Kaśka Sochacka|polish pop|52|56724;Kaśka Sochacka;polish pop;52;56724
2022-07-04;Rammstein;6wWVKhxIU2cEi0K81v7HvP;Rammstein|alternative metal,german metal,industrial,industrial metal,industrial rock,neue deutsche harte|79|7330069;Rammstein;alternative metal,german metal,industrial,industrial metal,industrial rock,neue deutsche harte;79;7330069
2022-07-04;Sanah;0TMvoNR0AIJV138mHY6jdE;sanah|polish pop|69|1342947;sanah;polish pop;69;1342947
2022-07-04;Mick Jagger;3d2pb1dHTm8b61zAGVUVvO;Mick Jagger|album rock,blues rock,classic rock,dance rock,mellow gold,rock,soft rock|56|457253;Mick Jagger;album rock,blues rock,classic rock,dance rock,mellow gold,rock,soft rock;56;457253
